API Number,Type,Injection Date,Days,Volume Injected,Volume Injected Units,Avg Injection Rate,Injection Rate Units,Avg Injection Pressure,Avg Pressure Units,Max Injection Pressure,Injection Pressure Units
40 063 20601,Water Injection,5/31/21,30,24441,bbls,814.7,bbls/day,1663,psi,1675,psi
40 063 20601,Water Injection,4/30/21,31,25484,bbls,822.0645161,bbls/day,1656,psi,1670,psi
40 063 20601,Water Injection,3/31/21,30,25304,bbls,843.4666667,bbls/day,1653,psi,1664,psi
40 063 20601,Water Injection,2/28/21,31,26225,bbls,845.9677419,bbls/day,1642,psi,1671,psi
40 063 20601,Water Injection,1/31/21,28,23842,bbls,851.5,bbls/day,1621,psi,1683,psi
40 063 20601,Water Injection,12/31/20,31,26167,bbls,844.0967742,bbls/day,1620,psi,1648,psi
40 063 20601,Water Injection,11/30/20,31,26798,bbls,864.4516129,bbls/day,1602,psi,1632,psi
40 063 20601,Water Injection,10/31/20,30,25224,bbls,840.8,bbls/day,1562,psi,1593,psi
40 063 20601,Water Injection,9/30/20,31,25438,bbls,820.5806452,bbls/day,1527,psi,1570,psi
40 063 20601,Water Injection,8/31/20,30,23133,bbls,771.1,bbls/day,1442,psi,1524,psi
40 063 20601,Water Injection,7/31/20,31,23786,bbls,767.2903226,bbls/day,1539,psi,1586,psi
40 063 20601,Water Injection,6/30/20,31,26102,bbls,842,bbls/day,1558,psi,1576,psi
40 063 20601,Water Injection,5/31/20,30,25372,bbls,845.7333333,bbls/day,1538,psi,1572,psi
40 063 20601,Water Injection,4/30/20,31,24433,bbls,788.1612903,bbls/day,1495,psi,1579,psi
40 063 20601,Water Injection,3/31/20,30,24795,bbls,826.5,bbls/day,1554,psi,1570,psi
40 063 20601,Water Injection,2/29/20,31,25081,bbls,809.0645161,bbls/day,1530,psi,1562,psi
40 063 20601,Water Injection,1/31/20,29,23226,bbls,800.8965517,bbls/day,1523,psi,1546,psi
40 063 20601,Water Injection,12/31/19,31,23441,bbls,756.1612903,bbls/day,1502,psi,1532,psi
40 063 20601,Water Injection,11/30/19,31,24310,bbls,784.1935484,bbls/day,1527,psi,1543,psi
40 063 20601,Water Injection,10/31/19,30,23216,bbls,773.8666667,bbls/day,1497,psi,1524,psi
40 063 20601,Water Injection,9/30/19,31,25201,bbls,812.9354839,bbls/day,1505,psi,1539,psi
40 063 20601,Water Injection,8/31/19,30,21131,bbls,704.3666667,bbls/day,1357,psi,1529,psi
40 063 20601,Water Injection,7/31/19,31,25882,bbls,834.9032258,bbls/day,1471,psi,1539,psi
40 063 20601,Water Injection,6/30/19,31,22229,bbls,717.0645161,bbls/day,1342,psi,1448,psi
40 063 20601,Water Injection,5/31/19,30,15533,bbls,517.7666667,bbls/day,1286,psi,1481,psi
40 063 20601,Water Injection,4/30/19,31,23793,bbls,767.516129,bbls/day,1572,psi,1604,psi
40 063 20601,Water Injection,3/31/19,30,24475,bbls,815.8333333,bbls/day,1590,psi,1609,psi
40 063 20601,Water Injection,2/28/19,31,23343,bbls,753,bbls/day,1545,psi,1604,psi
